"Ar";"Fylke";"Hovednaring";"Naring";"Naringshovedgruppe";"Naringsgruppe";"AntallTilsyn";"AntallMedReaksjon";"AntallReaksjoner"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.1 Dyrking av ettårige vekster";"01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster";"3";"3";"9"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.1 Dyrking av ettårige vekster";"01.19 Dyrking av ettårige vekster ellers";"7";"6";"17"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.4 Husdyrhold";"01.41 Melkeproduksjon på storfe";"13";"6";"19"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.4 Husdyrhold";"01.45 Saue- og geitehold";"2";"2";"2"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.5 Kombinert husdyrhold og planteproduksjon";"01.50 Kombinert husdyrhold og planteproduksjon";"3";"1";"4"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"02 Skogbruk og tjenester tilknyttet skogbruk";"02.1 Skogskjøtsel og andre skogbruksaktiviteter";"02.10 Skogskjøtsel og andre skogbruksaktiviteter";"1";"1";"9"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"02 Skogbruk og tjenester tilknyttet skogbruk";"02.2 Avvirkning";"02.20 Avvirkning";"9";"4";"9"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"03 Fiske, fangst og akvakultur";"03.1 Fiske og fangst";"03.11 Hav- og kystfiske og fangst";"1";"1";"3"
"2015";"Agder";"B Bergverksdrift og utvinning";"08 Bryting og bergverksdrift ellers";"08.1 Bryting av stein, utvinning av sand og leire";"08.11 Bryting av stein til bygge- og anleggsvirksomhet, kalkstein, gips, kritt og skifer";"1";"1";"1"
"2015";"Agder";"C Industri";"16 Produksjon av trelast og varer av tre, kork, strå og flettematerialer, unntatt møbler";"16.2 Produksjon av varer av tre, kork, strå og flettematerialer";"16.21 Produksjon av finerplater og andre bygnings- og møbelplater av tre";"4";"0";"0"
"2015";"Agder";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.1 Produksjon av glass og glassprodukter";"23.14 Produksjon av glassfibrer";"2";"1";"3"
"2015";"Agder";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.9 Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted";"23.99 Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet sted";"0";"0";"1"
"2015";"Agder";"C Industri";"24 Produksjon av metaller";"24.1 Produksjon av jern og stål, samt ferrolegeringer";"24.10 Produksjon av jern og stål, samt ferrolegeringer";"2";"0";"0"
"2015";"Agder";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.1 Produksjon av metallkonstruksjoner";"25.11 Produksjon av metallkonstruksjoner og deler";"7";"4";"15"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.1 Dyrking av ettårige vekster";"01.11 Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster";"2";"2";"11"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.4 Husdyrhold";"01.42 Oppdrett av annet storfe";"6";"5";"14"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.6 Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting";"01.62 Tjenester tilknyttet husdyrhold";"1";"0";"0"
"2015";"Agder";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.8 Produksjon av andre næringsmidler";"10.85 Produksjon av ferdigmat";"1";"1";"2"
"2015";"Agder";"C Industri";"16 Produksjon av trelast og varer av tre, kork, strå og flettematerialer, unntatt møbler";"16.2 Produksjon av varer av tre, kork, strå og flettematerialer";"16.23 Produksjon av andre bygningsartikler";"10";"4";"6"
"2015";"Agder";"C Industri";"18 Trykking og reproduksjon av innspilte opptak";"18.1 Trykking og tjenester tilknyttet trykking";"18.12 Trykking ellers";"1";"1";"2"
"2015";"Agder";"C Industri";"22 Produksjon av gummi- og plastprodukter";"22.2 Produksjon av plastprodukter";"22.21 Produksjon av halvfabrikater av plast";"1";"1";"4"
"2015";"Agder";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.6 Produksjon av betong-, sement- og gipsprodukter";"23.61 Produksjon av betongprodukter for bygge- og anleggsvirksomhet";"6";"2";"6"
"2015";"Agder";"E Vannforsyning, avløps- og renovasjonsvirksomhet";"38 Innsamling, behandling, disponering og gjenvinning av avfall";"38.1 Innsamling av avfall";"38.11 Innsamling av ikke-farlig avfall";"8";"4";"9"
"2015";"Agder";"E Vannforsyning, avløps- og renovasjonsvirksomhet";"38 Innsamling, behandling, disponering og gjenvinning av avfall";"38.2 Behandling og disponering av avfall";"38.21 Behandling og disponering av ikke-farlig avfall";"1";"1";"3"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.1 Riving og grunnarbeid";"43.11 Riving av bygninger og andre konstruksjoner";"3";"2";"3"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.2 Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid";"43.29 Annet installasjonsarbeid";"5";"1";"1"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.9 Annen spesialisert bygge- og anleggsvirksomhet";"43.91 Takarbeid";"19";"7";"10"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"45 Handel med og reparasjon av motorvogner";"45.1 Handel med motorvogner, unntatt motorsykler";"45.19 Handel med andre motorvogner, unntatt motorsykler";"1";"1";"1"
"2015";"Agder";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.1 Produksjon av glass og glassprodukter";"23.12 Bearbeiding av planglass";"1";"0";"1"
"2015";"Agder";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.6 Produksjon av betong-, sement- og gipsprodukter";"23.63 Produksjon av ferdigblandet betong";"1";"1";"1"
"2015";"Agder";"C Industri";"28 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"28.2 Produksjon av andre maskiner og annet utstyr til generell bruk";"28.29 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"2";"1";"7"
"2015";"Agder";"C Industri";"28 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"28.3 Produksjon av jordbruks- og skogbruksmaskiner";"28.30 Produksjon av jordbruks- og skogbruksmaskiner";"2";"2";"5"
"2015";"Agder";"C Industri";"31 Produksjon av møbler";"31.0 Produksjon av møbler";"31.01 Produksjon av kontor- og butikkmøbler";"1";"0";"0"
"2015";"Agder";"C Industri";"31 Produksjon av møbler";"31.0 Produksjon av møbler";"31.02 Produksjon av kjøkkenmøbler";"3";"2";"5"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"41 Oppføring av bygninger";"41.1 Utvikling av byggeprosjekter";"41.10 Utvikling av byggeprosjekter";"8";"5";"13"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.1 Riving og grunnarbeid";"43.12 Grunnarbeid";"25";"13";"29"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.3 Ferdiggjøring av bygninger";"43.33 Gulvlegging og tapetsering";"4";"0";"0"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.3 Ferdiggjøring av bygninger";"43.34 Maler- og glassarbeid";"30";"19";"46"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.3 Ferdiggjøring av bygninger";"43.39 Annen ferdiggjøring av bygninger";"3";"1";"1"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.9 Annen spesialisert bygge- og anleggsvirksomhet";"43.99 Annen spesialisert bygge- og anleggsvirksomhet";"60";"28";"53"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"45 Handel med og reparasjon av motorvogner";"45.2 Vedlikehold og reparasjon av motorvogner, unntatt motorsykler";"45.20 Vedlikehold og reparasjon av motorvogner, unntatt motorsykler";"37";"30";"104"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.3 Engroshandel med nærings- og nytelsesmidler";"46.39 Engroshandel med bredt utvalg av nærings- og nytelsesmidler";"3";"0";"0"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.1 Butikkhandel med bredt vareutvalg";"47.19 Butikkhandel med bredt vareutvalg ellers";"1";"1";"1"
"2015";"Agder";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.3 Planteformering";"01.30 Planteformering";"1";"0";"0"
"2015";"Agder";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.9 Produksjon av fôrvarer";"10.91 Produksjon av fôrvarer til husdyrhold";"0";"0";"1"
"2015";"Agder";"C Industri";"20 Produksjon av kjemikalier og kjemiske produkter";"20.1 Produksjon av kjemiske råvarer, gjødsel og nitrogenforbindelser, basisplast og syntetisk gummi";"20.13 Produksjon av andre uorganiske kjemikalier";"4";"1";"2"
"2015";"Agder";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.7 Hogging og bearbeiding av monument- og bygningsstein";"23.70 Hogging og bearbeiding av monument- og bygningsstein";"2";"0";"0"
"2015";"Agder";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.6 Overflatebehandling og bearbeiding av metaller";"25.61 Overflatebehandling av metaller";"1";"1";"3"
"2015";"Agder";"C Industri";"28 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"28.9 Produksjon av andre spesialmaskiner";"28.99 Produksjon av spesialmaskiner ikke nevnt annet sted";"1";"0";"0"
"2015";"Agder";"C Industri";"29 Produksjon av motorvogner og tilhengere";"29.2 Produksjon av karosserier og tilhengere";"29.20 Produksjon av karosserier og tilhengere";"2";"1";"4"
"2015";"Agder";"C Industri";"30 Produksjon av andre transportmidler";"30.1 Bygging av skip og båter";"30.11 Bygging av skip og flytende materiell";"1";"1";"8"
"2015";"Agder";"C Industri";"33 Reparasjon og installasjon av maskiner og utstyr";"33.1 Reparasjon av metallvarer, maskiner og utstyr";"33.12 Reparasjon av maskiner";"6";"3";"13"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"41 Oppføring av bygninger";"41.2 Oppføring av bygninger";"41.20 Oppføring av bygninger";"191";"95";"204"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.2 Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid";"43.22 VVS-arbeid";"36";"16";"26"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"45 Handel med og reparasjon av motorvogner";"45.3 Handel med deler og utstyr til motorvogner, unntatt motorsykler";"45.31 Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler";"2";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.1 Agenturhandel";"46.18 Agenturhandel med spesialisert vareutvalg ellers";"1";"1";"5"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.1 Butikkhandel med bredt vareutvalg";"47.11 Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler";"29";"17";"39"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"45 Handel med og reparasjon av motorvogner";"45.3 Handel med deler og utstyr til motorvogner, unntatt motorsykler";"45.32 Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler";"3";"3";"21"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.3 Engroshandel med nærings- og nytelsesmidler";"46.34 Engroshandel med drikkevarer";"2";"1";"2"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.6 Engroshandel med andre maskiner og annet utstyr";"46.61 Engroshandel med maskiner og utstyr til jordbruk og skogbruk";"1";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.7 Engroshandel med spesialisert vareutvalg ellers";"46.73 Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr";"6";"3";"8"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.7 Engroshandel med spesialisert vareutvalg ellers";"46.74 Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr";"4";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.3 Detaljhandel med drivstoff til motorvogner";"47.30 Detaljhandel med drivstoff til motorvogner";"12";"8";"16"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.5 Butikkhandel med andre husholdningsvarer i spesialforretninger";"47.52 Butikkhandel med jernvarer, fargevarer og glass";"17";"10";"25"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.7 Annen butikkhandel i spesialforretninger";"47.76 Butikkhandel med blomster og planter, kjæledyr og fôrvarer til kjæledyr";"2";"2";"3"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.7 Annen butikkhandel i spesialforretninger";"47.78 Annen butikkhandel med andre nye varer i spesialforretninger";"2";"2";"3"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.9 Detaljhandel utenom utsalgssted";"47.91 Postordrehandel og handel via Internett";"1";"0";"0"
"2015";"Agder";"H Transport og lagring";"49 Landtransport og rørtransport";"49.3 Annen landtransport med passasjerer";"49.32 Drosjebiltransport";"1";"0";"0"
"2015";"Agder";"H Transport og lagring";"52 Lagring og andre tjenester tilknyttet transport";"52.1 Lagring";"52.10 Lagring";"1";"1";"2"
"2015";"Agder";"H Transport og lagring";"52 Lagring og andre tjenester tilknyttet transport";"52.2 Andre tjenester tilknyttet transport";"52.29 Andre tjenester tilknyttet transport";"4";"0";"0"
"2015";"Agder";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.6 Overflatebehandling og bearbeiding av metaller";"25.62 Bearbeiding av metaller";"7";"7";"29"
"2015";"Agder";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.9 Produksjon av andre metallvarer";"25.99 Produksjon av metallvarer ikke nevnt annet sted";"1";"1";"4"
"2015";"Agder";"C Industri";"28 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"28.9 Produksjon av andre spesialmaskiner";"28.92 Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet";"1";"1";"3"
"2015";"Agder";"C Industri";"31 Produksjon av møbler";"31.0 Produksjon av møbler";"31.09 Produksjon av møbler ellers";"3";"3";"12"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"42 Anleggsvirksomhet";"42.1 Bygging av veier og jernbaner";"42.11 Bygging av veier og motorveier";"2";"2";"5"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"42 Anleggsvirksomhet";"42.2 Bygging av vann- og kloakkanlegg, og anlegg for elektrisitet og telekommunikasjon";"42.22 Bygging av anlegg for elektrisitet og telekommunikasjon";"2";"0";"0"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.2 Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid";"43.21 Elektrisk installasjonsarbeid";"29";"9";"17"
"2015";"Agder";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.3 Ferdiggjøring av bygninger";"43.32 Snekkerarbeid";"26";"22";"37"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"45 Handel med og reparasjon av motorvogner";"45.1 Handel med motorvogner, unntatt motorsykler";"45.11 Handel med biler og lette motorvogner, unntatt motorsykler";"11";"8";"23"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.4 Engroshandel med husholdningsvarer og varer til personlig bruk";"46.49 Engroshandel med husholdningsvarer og varer til personlig bruk ellers";"1";"0";"0"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.6 Engroshandel med andre maskiner og annet utstyr";"46.69 Engroshandel med maskiner og utstyr ellers";"1";"0";"0"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.7 Engroshandel med spesialisert vareutvalg ellers";"46.71 Engroshandel med drivstoff og brensel";"1";"0";"0"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.7 Engroshandel med spesialisert vareutvalg ellers";"46.77 Engroshandel med avfall og skrap";"4";"4";"21"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.5 Butikkhandel med andre husholdningsvarer i spesialforretninger";"47.51 Butikkhandel med tekstiler og utstyrsvarer";"1";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.4 Butikkhandel med IKT-utstyr i spesialforretninger";"47.43 Butikkhandel med audio- og videoutstyr";"1";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.5 Butikkhandel med andre husholdningsvarer i spesialforretninger";"47.54 Butikkhandel med elektriske husholdningsapparater";"1";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.6 Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger";"47.64 Butikkhandel med sportsutstyr";"4";"4";"12"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.7 Annen butikkhandel i spesialforretninger";"47.77 Butikkhandel med ur, gull- og sølvvarer";"1";"1";"10"
"2015";"Agder";"H Transport og lagring";"49 Landtransport og rørtransport";"49.4 Godstransport på vei, herunder flyttetransport";"49.41 Godstransport på vei";"83";"26";"48"
"2015";"Agder";"H Transport og lagring";"52 Lagring og andre tjenester tilknyttet transport";"52.2 Andre tjenester tilknyttet transport";"52.22 Andre tjenester tilknyttet sjøtransport";"2";"1";"1"
"2015";"Agder";"H Transport og lagring";"53 Post og distribusjonsvirksomhet";"53.1 Landsdekkende posttjenester";"53.10 Landsdekkende posttjenester";"1";"0";"0"
"2015";"Agder";"I Overnattings- og serveringsvirksomhet";"56 Serveringsvirksomhet";"56.1 Restaurantvirksomhet";"56.10 Restaurantvirksomhet";"76";"53";"154"
"2015";"Agder";"I Overnattings- og serveringsvirksomhet";"56 Serveringsvirksomhet";"56.3 Drift av barer";"56.30 Drift av barer";"3";"2";"4"
"2015";"Agder";"M Faglig, vitenskapelig og teknisk tjenesteyting";"69 Juridisk og regnskapsmessig tjenesteyting";"69.2 Regnskap, revisjon og skatterådgivning";"69.20 Regnskap, revisjon og skatterådgivning";"1";"1";"2"
"2015";"Agder";"M Faglig, vitenskapelig og teknisk tjenesteyting";"71 Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse";"71.1 Arkitektvirksomhet og teknisk konsulentvirksomhet";"71.12 Teknisk konsulentvirksomhet";"3";"1";"1"
"2015";"Agder";"M Faglig, vitenskapelig og teknisk tjenesteyting";"75 Veterinærtjenester";"75.0 Veterinærtjenester";"75.00 Veterinærtjenester";"4";"4";"21"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"81 Tjenester tilknyttet eiendomsdrift";"81.1 Kombinerte tjenester tilknyttet eiendomsdrift";"81.10 Kombinerte tjenester tilknyttet eiendomsdrift";"6";"3";"5"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"81 Tjenester tilknyttet eiendomsdrift";"81.2 Rengjøringsvirksomhet";"81.21 Rengjøring av bygninger";"20";"16";"39"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"81 Tjenester tilknyttet eiendomsdrift";"81.2 Rengjøringsvirksomhet";"81.29 Annen rengjøringsvirksomhet";"2";"2";"2"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.6 Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger";"47.65 Butikkhandel med spill og leker";"2";"2";"3"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.7 Annen butikkhandel i spesialforretninger";"47.71 Butikkhandel med klær";"8";"5";"10"
"2015";"Agder";"H Transport og lagring";"49 Landtransport og rørtransport";"49.3 Annen landtransport med passasjerer";"49.39 Landtransport med passasjerer ikke nevnt annet sted";"2";"0";"0"
"2015";"Agder";"J Informasjon og kommunikasjon";"61 Telekommunikasjon";"61.1 Kabelbasert telekommunikasjon";"61.10 Kabelbasert telekommunikasjon";"1";"1";"1"
"2015";"Agder";"M Faglig, vitenskapelig og teknisk tjenesteyting";"70 Hovedkontortjenester, administrativ rådgivning";"70.1 Hovedkontortjenester";"70.10 Hovedkontortjenester";"1";"0";"0"
"2015";"Agder";"M Faglig, vitenskapelig og teknisk tjenesteyting";"71 Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse";"71.2 Teknisk prøving og analyse";"71.20 Teknisk prøving og analyse";"1";"0";"0"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"77 Utleie- og leasingvirksomhet";"77.1 Utleie og leasing av motorvogner";"77.11 Utleie og leasing av biler og andre lette motorvogner";"2";"0";"0"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"77 Utleie- og leasingvirksomhet";"77.2 Utleie og leasing av husholdningsvarer og varer til personlig bruk";"77.29 Utleie og leasing av andre husholdningsvarer og varer til personlig bruk";"1";"0";"0"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"78 Arbeidskrafttjenester";"78.2 Utleie av arbeidskraft";"78.20 Utleie av arbeidskraft";"37";"25";"44"
"2015";"Agder";"O Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84 Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84.1 Offentlig administrasjon og forvaltning";"84.12 Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern";"1";"1";"10"
"2015";"Agder";"P Undervisning";"85 Undervisning";"85.3 Undervisning på videregående skoles nivå";"85.32 Videregående opplæring innen tekniske og andre yrkesfaglige studieretninger";"2";"1";"6"
"2015";"Agder";"S Annen tjenesteyting";"95 Reparasjon av datamaskiner, husholdningsvarer og varer til personlig bruk";"95.2 Reparasjon av husholdningsvarer og varer til personlig bruk";"95.29 Reparasjon av andre husholdningsvarer og varer til personlig bruk";"1";"0";"0"
"2015";"Agder";"S Annen tjenesteyting";"96 Annen personlig tjenesteyting";"96.0 Annen personlig tjenesteyting";"96.01 Vaskeri- og renserivirksomhet";"2";"2";"4"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.5 Butikkhandel med andre husholdningsvarer i spesialforretninger";"47.53 Butikkhandel med tapeter, gulvtepper og gardiner";"1";"0";"0"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.5 Butikkhandel med andre husholdningsvarer i spesialforretninger";"47.59 Butikkhandel med møbler, belysningsutstyr og andre innredningsartikler";"4";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.6 Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger";"47.61 Butikkhandel med bøker";"2";"1";"1"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.7 Annen butikkhandel i spesialforretninger";"47.72 Butikkhandel med skotøy og lærvarer";"2";"2";"2"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.7 Annen butikkhandel i spesialforretninger";"47.73 Butikkhandel med apotekvarer";"2";"0";"0"
"2015";"Agder";"G Varehandel, reparasjon av motorvogner";"47 Detaljhandel, unntatt med motorvogner";"47.7 Annen butikkhandel i spesialforretninger";"47.75 Butikkhandel med kosmetikk og toalettartikler";"1";"1";"1"
"2015";"Agder";"I Overnattings- og serveringsvirksomhet";"55 Overnattingsvirksomhet";"55.3 Drift av campingplasser";"55.30 Drift av campingplasser";"2";"0";"0"
"2015";"Agder";"I Overnattings- og serveringsvirksomhet";"56 Serveringsvirksomhet";"56.2 Cateringvirksomhet og kantiner drevet som selvstendig virksomhet";"56.21 Cateringvirksomhet";"4";"3";"10"
"2015";"Agder";"L Omsetning og drift av fast eiendom";"68 Omsetning og drift av fast eiendom";"68.1 Kjøp og salg av egen fast eiendom";"68.10 Kjøp og salg av egen fast eiendom";"4";"3";"6"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"80 Vakttjeneste og etterforsking";"80.1 Private vakttjenester";"80.10 Private vakttjenester";"4";"3";"5"
"2015";"Agder";"O Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84 Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84.1 Offentlig administrasjon og forvaltning";"84.11 Generell offentlig administrasjon";"1";"0";"11"
"2015";"Agder";"Ukjent";"Ikke utfylt Ikke utfylt";"Ikke utfylt Ikke utfylt";"Ikke utfylt Ikke utfylt";"3";"2";"6"
"2015";"Buskerud";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.1 Dyrking av ettårige vekster";"01.13 Dyrking av grønnsaker, meloner, rot- og knollvekster";"1";"1";"6"
"2015";"Buskerud";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.3 Ferdiggjøring av bygninger";"43.32 Snekkerarbeid";"1";"1";"5"
"2015";"Agder";"N Forretningsmessig tjenesteyting";"81 Tjenester tilknyttet eiendomsdrift";"81.3 Beplantning av hager og parkanlegg";"81.30 Beplantning av hager og parkanlegg";"10";"6";"15"
"2015";"Agder";"Q Helse- og sosialtjenester";"88 Sosiale omsorgstjenester uten botilbud";"88.9 Andre sosialtjenester uten botilbud";"88.99 Andre sosialtjenester uten botilbud ikke nevnt annet sted";"5";"1";"5"
