"Ar";"Fylke";"Hovednaring";"Naring";"Naringshovedgruppe";"Naringsgruppe";"AntallTilsyn";"AntallMedReaksjon";"AntallReaksjoner"
"2016";"Innlandet";"B Bergverksdrift og utvinning";"08 Bryting og bergverksdrift ellers";"08.1 Bryting av stein, utvinning av sand og leire";"08.11 Bryting av stein til bygge- og anleggsvirksomhet, kalkstein, gips, kritt og skifer";"1";"1";"5"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.5 Produksjon av meierivarer og iskrem";"10.51 Produksjon av meierivarer";"3";"2";"12"
"2016";"Agder";"N Forretningsmessig tjenesteyting";"78 Arbeidskrafttjenester";"78.1 Rekruttering og formidling av arbeidskraft";"78.10 Rekruttering og formidling av arbeidskraft";"1";"1";"1"
"2016";"Agder";"N Forretningsmessig tjenesteyting";"78 Arbeidskrafttjenester";"78.2 Utleie av arbeidskraft";"78.20 Utleie av arbeidskraft";"24";"8";"16"
"2016";"Agder";"N Forretningsmessig tjenesteyting";"81 Tjenester tilknyttet eiendomsdrift";"81.1 Kombinerte tjenester tilknyttet eiendomsdrift";"81.10 Kombinerte tjenester tilknyttet eiendomsdrift";"2";"2";"2"
"2016";"Agder";"N Forretningsmessig tjenesteyting";"82 Annen forretningsmessig tjenesteyting";"82.9 Forretningsmessig tjenesteyting ikke nevnt annet sted";"82.99 Annen forretningsmessig tjenesteyting ikke nevnt annet sted";"1";"0";"0"
"2016";"Agder";"O Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84 Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84.1 Offentlig administrasjon og forvaltning";"84.12 Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern";"4";"1";"4"
"2016";"Agder";"O Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84 Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84.1 Offentlig administrasjon og forvaltning";"84.13 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked";"1";"0";"5"
"2016";"Agder";"P Undervisning";"85 Undervisning";"85.3 Undervisning på videregående skoles nivå";"85.32 Videregående opplæring innen tekniske og andre yrkesfaglige studieretninger";"1";"1";"1"
"2016";"Agder";"Q Helse- og sosialtjenester";"86 Helsetjenester";"86.2 Lege- og tannlegetjenester";"86.23 Tannhelsetjenester";"1";"1";"2"
"2016";"Agder";"Q Helse- og sosialtjenester";"87 Pleie- og omsorgstjenester i institusjon";"87.9 Andre omsorgsinstitusjoner";"87.90 Andre omsorgsinstitusjoner";"9";"2";"2"
"2016";"Agder";"R Kulturell virksomhet, underholdning og fritidsaktiviteter";"90 Kunstnerisk virksomhet og underholdningsvirksomhet";"90.0 Kunstnerisk virksomhet og underholdningsvirksomhet";"90.01 Utøvende kunstnere og underholdningsvirksomhet";"0";"0";"2"
"2016";"Buskerud";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.1 Riving og grunnarbeid";"43.12 Grunnarbeid";"1";"0";"0"
"2016";"Buskerud";"O Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84 Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning";"84.1 Offentlig administrasjon og forvaltning";"84.13 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked";"1";"0";"0"
"2016";"Innlandet";"A Jordbruk, skogbruk og fiske";"01 Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell";"01.1 Dyrking av ettårige vekster";"01.11 Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster";"6";"3";"5"
"2016";"Innlandet";"B Bergverksdrift og utvinning";"08 Bryting og bergverksdrift ellers";"08.1 Bryting av stein, utvinning av sand og leire";"08.12 Utvinning fra grus- og sandtak, og utvinning av leire og kaolin";"1";"1";"1"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.1 Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer";"10.13 Produksjon av kjøtt- og fjørfevarer";"1";"0";"0"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.3 Bearbeiding og konservering av frukt og grønnsaker";"10.31 Bearbeiding og konservering av poteter";"2";"1";"4"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.9 Produksjon av fôrvarer";"10.91 Produksjon av fôrvarer til husdyrhold";"1";"1";"3"
"2016";"Innlandet";"C Industri";"18 Trykking og reproduksjon av innspilte opptak";"18.1 Trykking og tjenester tilknyttet trykking";"18.12 Trykking ellers";"1";"1";"3"
"2016";"Innlandet";"C Industri";"20 Produksjon av kjemikalier og kjemiske produkter";"20.5 Produksjon av andre kjemiske produkter";"20.59 Produksjon av kjemiske produkter ikke nevnt annet sted";"1";"1";"1"
"2016";"Innlandet";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.1 Produksjon av metallkonstruksjoner";"25.12 Produksjon av dører og vinduer av metall";"1";"1";"2"
"2016";"Innlandet";"C Industri";"26 Produksjon av datamaskiner og elektroniske og optiske produkter";"26.1 Produksjon av elektroniske komponenter og kretskort";"26.11 Produksjon av elektroniske komponenter";"0";"0";"2"
"2016";"Innlandet";"C Industri";"28 Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted";"28.1 Produksjon av maskiner og utstyr til generell bruk";"28.12 Produksjon av komponenter til hydraulisk og pneumatisk utstyr";"1";"1";"6"
"2016";"Innlandet";"C Industri";"30 Produksjon av andre transportmidler";"30.9 Produksjon av transportmidler ikke nevnt annet sted";"30.92 Produksjon av sykler og invalidevogner";"1";"0";"0"
"2016";"Innlandet";"E Vannforsyning, avløps- og renovasjonsvirksomhet";"38 Innsamling, behandling, disponering og gjenvinning av avfall";"38.1 Innsamling av avfall";"38.11 Innsamling av ikke-farlig avfall";"2";"2";"17"
"2016";"Innlandet";"E Vannforsyning, avløps- og renovasjonsvirksomhet";"38 Innsamling, behandling, disponering og gjenvinning av avfall";"38.3 Materialgjenvinning";"38.32 Sortering og bearbeiding av avfall for materialgjenvinning";"2";"2";"2"
"2016";"Innlandet";"F Bygge- og anleggsvirksomhet";"41 Oppføring av bygninger";"41.2 Oppføring av bygninger";"41.20 Oppføring av bygninger";"170";"119";"320"
"2015";"Viken";"I Overnattings- og serveringsvirksomhet";"56 Serveringsvirksomhet";"56.1 Restaurantvirksomhet";"56.10 Restaurantvirksomhet";"372";"307";"1181"
"2015";"Viken";"I Overnattings- og serveringsvirksomhet";"56 Serveringsvirksomhet";"56.2 Cateringvirksomhet og kantiner drevet som selvstendig virksomhet";"56.29 Kantiner drevet som selvstendig virksomhet";"5";"2";"5"
"2015";"Viken";"I Overnattings- og serveringsvirksomhet";"56 Serveringsvirksomhet";"56.3 Drift av barer";"56.30 Drift av barer";"25";"17";"73"
"2015";"Viken";"J Informasjon og kommunikasjon";"58 Forlagsvirksomhet";"58.1 Utgivelse av bøker, tidsskrifter og annen forlagsvirksomhet";"58.14 Utgivelse av blader og tidsskrifter";"1";"1";"2"
"2015";"Viken";"J Informasjon og kommunikasjon";"63 Informasjonstjenester";"63.1 Databehandling, datalagring og tilknyttede tjenester, drift av web-portaler";"63.11 Databehandling, datalagring og tilknyttede tjenester";"1";"1";"3"
"2015";"Viken";"K Finansierings- og forsikringsvirksomhet";"64 Finansieringsvirksomhet";"64.9 Annen finansieringsvirksomhet";"64.92 Annen kredittgivning";"1";"0";"0"
"2015";"Viken";"K Finansierings- og forsikringsvirksomhet";"65 Forsikringsvirksomhet og pensjonskasser, unntatt trygdeordninger underlagt offentlig forvaltning";"65.1 Forsikring";"65.12 Skadeforsikring";"2";"1";"1"
"2015";"Viken";"L Omsetning og drift av fast eiendom";"68 Omsetning og drift av fast eiendom";"68.2 Utleie av egen eller leid fast eiendom";"68.20 Utleie av egen eller leid fast eiendom";"39";"24";"63"
"2015";"Viken";"M Faglig, vitenskapelig og teknisk tjenesteyting";"71 Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse";"71.1 Arkitektvirksomhet og teknisk konsulentvirksomhet";"71.11 Arkitektvirksomhet";"3";"2";"3"
"2015";"Viken";"M Faglig, vitenskapelig og teknisk tjenesteyting";"71 Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse";"71.1 Arkitektvirksomhet og teknisk konsulentvirksomhet";"71.12 Teknisk konsulentvirksomhet";"28";"13";"30"
"2015";"Viken";"M Faglig, vitenskapelig og teknisk tjenesteyting";"72 Forskning og utviklingsarbeid";"72.1 Forskning og utviklingsarbeid innen naturvitenskap og teknikk";"72.11 Forskning og utviklingsarbeid innen bioteknologi";"1";"1";"1"
"2015";"Viken";"M Faglig, vitenskapelig og teknisk tjenesteyting";"74 Annen faglig, vitenskapelig og teknisk virksomhet";"74.3 Oversettelses- og tolkevirksomhet";"74.30 Oversettelses- og tolkevirksomhet";"1";"0";"0"
"2015";"Viken";"N Forretningsmessig tjenesteyting";"77 Utleie- og leasingvirksomhet";"77.2 Utleie og leasing av husholdningsvarer og varer til personlig bruk";"77.29 Utleie og leasing av andre husholdningsvarer og varer til personlig bruk";"2";"2";"6"
"2015";"Viken";"N Forretningsmessig tjenesteyting";"78 Arbeidskrafttjenester";"78.2 Utleie av arbeidskraft";"78.20 Utleie av arbeidskraft";"60";"24";"39"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.6 Produksjon av kornvarer, stivelse og stivelsesprodukter";"10.61 Produksjon av kornvarer";"1";"0";"0"
"2016";"Innlandet";"C Industri";"10 Produksjon av nærings- og nytelsesmidler";"10.7 Produksjon av bakeri- og pastavarer";"10.71 Produksjon av brød og ferske konditorvarer";"2";"1";"8"
"2016";"Innlandet";"C Industri";"16 Produksjon av trelast og varer av tre, kork, strå og flettematerialer, unntatt møbler";"16.1 Saging, høvling og impregnering av tre";"16.10 Saging, høvling og impregnering av tre";"10";"6";"7"
"2016";"Innlandet";"C Industri";"22 Produksjon av gummi- og plastprodukter";"22.2 Produksjon av plastprodukter";"22.22 Produksjon av plastemballasje";"2";"1";"1"
